url,parsed,original,title
https://codeup.com/blog/,True,"Oct 28, 2021 | IT Training, Tips for Prospective StudentsWhat IT Career should I choose? If you're thinking about a career in IT, there are a lot of directions you could go....Oct 21, 2021 | IT Training, Tips for Prospective StudentsCodeup offers two 13-week training programs: Systems Engineering and Cyber Cloud. Designed to help you launch your...Oct 18, 2021 | Alumni StoriesBy: Alicia Gonzalez Before Codeup, I was a home health Speech-Language Pathologist Assistant. I would go from home to...Oct 3, 2021 | Behind the BillboardsSep 16, 2021 | Codeup News, FeaturedLooking for the best data science bootcamp in the world? Or how about the best coding bootcamp in San Antonio? If...Aug 25, 2021 | Codeup News, FeaturedAny podcast enthusiasts out there? We are pleased to announce the release of Codeup’s first podcast, Hire Tech! Hire...Aug 23, 2021 | IT Training, Tips for Prospective StudentsWith so many tech careers in demand, why choose system administration? System administrators are a key component of...Jun 30, 2021 | Codeup NewsDid you know that even though we’re an independent school, we have multiple regulating bodies that verify our...Jun 21, 2021 | Codeup News, FeaturedCodeup is moving into another floor of our Historic Vogue building in Downtown San Antonio! We’ve gone from a humble...Jun 4, 2021 | Codeup NewsHappy Pride Month! Pride Month is a dedicated time to celebrate and support the LGBTQIA+ community. At Codeup, one of...May 21, 2021 | Tips for Prospective StudentsOne of the many reasons students love Codeup is our focus on people. With live interaction every day, the best coding...May 3, 2021 | Codeup NewsA big welcome to Stephen Noteboom, who will be joining Codeup as the Chief Operating Officer to run our business....Apr 30, 2021 | Alumni StoriesOut of college, I was a bit of a mess. That’s what I would have told you, anyway. On the surface, I was put together....Apr 27, 2021 | Tips for Prospective StudentsIn a world where 91.5% of developers are male, it’s important to remember that coding is for women, too. Our first...Apr 16, 2021 | Codeup NewsWe are thrilled to officially announce Codeup’s acquisition of Rackspace Cloud Academy!  What was Rackspace Cloud...Apr 13, 2021 | Tips for Prospective StudentsEvery year, Glassdoor names the 50 Best Jobs in America. The year is 2021 and would you look at that? The top 2 Best...Apr 12, 2021 | Codeup NewsMarty Sixkiller will be joining Codeup as the Vice President of Delivery to lead our instructional staff, program...Apr 5, 2021 | Codeup NewsAre you a veteran looking for your next career? We’re excited to announce that you can now use VET TEC to fund your...(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Blog - Codeup
https://codeup.com/codeup-news/codeup-acquires-rackspace-cloud-academy/,True,"Apr 16, 2021 | Codeup NewsWe are thrilled to officially announce Codeup’s acquisition of Rackspace Cloud Academy! Rackspace Cloud Academy provided bootcamp-style technical training in network administration and cybersecurity skills. It has been operated by Rackspace since 2013, reaching nearly 1,000 students in order to elevate the workforce of South Texas. The 13-week programs include System Administration and Cyber Cloud curriculums. It is now fully owned by Codeup!We will now offer the Rackspace Cloud Academy programs at Codeup alongside our 22-week Data Science and Full-Stack Web Development programs! This means more than double the career options for you and more tech talent for our employer partners. With a more robust menu of programs, we’re confident that Codeup will be the go-to place for anyone interested in launching a tech career, not just developers and data scientists. We now have more variety in price range, program duration, skill sets, and long-term career goals.“This acquisition presents great, new opportunities for our company and also the students and professionals who we will be able to serve. Codeup will now have a larger footprint of campuses and classrooms across Texas, adding 80 percent more classrooms. Additionally, we will further diversify our product offerings by price point, subject, and entrance requirements, allowing Codeup to find the right path for even more applicants.” –  Jason Straughan, Codeup CEOWith a commitment to your outcome (a successful job in your career of choice), you will still get the highest quality curriculum and instruction, and the same unparalleled time and attention from our staff. Codeup continues to be the Premier Career Accelerator in Texas, and the best place to enter a career in technology. Similarly, this acquisition connects us with even more employer partners that need the talent we are creating. Employers everywhere engage our Partnerships team to recruit pre-vetted candidates hand-picked for them with a 2-week salary refund guarantee. With a talent pool of many skillsets, Web Development, Data Science, System Administration, and Cybersecurity, we’ll be the first place hiring managers turn to when hiring tech talent. Employers can start working with our Partnerships team by emailing partners@codeup.com.Our mission is to empower life change while solving the tech talent shortage in the Texas community. We’re excited to welcome the team at Rackspace Cloud Academy under the Codeup wing and accomplish this mission together on an even larger scale. Together as one, we will have a great impact on San Antonio, the state of Texas, the tech industry, and the local economy. If you’re interested in launching a career in tech, let’s talk! Give us a call at 210-802-7289 or send us an email at admissions@codeup.com. Ready to apply? Click here to apply now!Submit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Codeup Acquires Rackspace Cloud Academy! - Codeup
https://codeup.com/codeup-news/start-a-new-career-with-vet-tec/,True,"Apr 5, 2021 | Codeup NewsAre you a veteran looking for your next career? We’re excited to announce that you can now use VET TEC to fund your career change with Codeup! The Department of Veterans Affairs (VA) has renewed VET TEC funding, which will allow more veterans to launch a career in tech. Haven’t heard of VET TEC? Not sure if you’re eligible? Keep reading! VET TEC, which stands for Veteran Employment Through Technology Education Courses, is a program through the VA that matches career accelerators like Codeup with veterans looking to gain high-tech skills. Programs like Codeup will help you build the skills you need to become, for example, a Web Developer or Data Scientist, while the VA helps you to pay for the tuition. To qualify for VET TEC, you must:Can’t use VET TEC? Not to worry! We also accept other VA benefits including VR&amp;E Vocational Rehab and Chapter 33 GI Bill. Our grant partners also love helping veterans. Based in Military City but available remotely across Texas, Codeup is proud to support our veterans. We have helped hundreds of veterans become Data Scientists and Software Developers. Using your VA benefits and VET TEC, you can start your next career in just under 6 months with our full-time, fully immersive programs. Unlike many other coding bootcamps, we don’t just teach you the skills and call it a day. We will help you actually get a job in your new career of choice. Get hired within 6 months of graduating, or get your money back. Always wanted to be a coder? Interested in bringing ideas to life through apps and websites? Learn more about our Full-Stack Web Development program here. ove analyzing things? Enjoy math? Worked in intelligence? You might love using data to tell stories and make business decisions. Learn about our Data Science program here. Take a look at our upcoming classes below. Keep in mind, these are subject to change, so contact our admissions team (admissions@codeup.com) for the latest admissions information!Web Development (2021)April 12thMay 24thAugust 9thOctober 4thNovember 1stDecember 6thData Science (2021)June 14thOctober 4th If you do plan to use it, make sure to go through our admissions process as quickly as possible. VET TEC funding runs out fast, so your enrollment needs to be certified before funding runs out.  Ready to get started using VET TEC at Codeup? Apply now! Make sure to let us know you plan to use VET TEC so we can help expedite your application! Come find out why Codeup is the best option for veterans looking to start a career in tech.Submit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Start a New Career with VET TEC! - Codeup
https://codeup.com/blog/page/2/?et_blog,True,"Oct 3, 2021 | Behind the BillboardsSep 16, 2021 | Codeup News, FeaturedLooking for the best data science bootcamp in the world? Or how about the best coding bootcamp in San Antonio? If...Aug 25, 2021 | Codeup News, FeaturedAny podcast enthusiasts out there? We are pleased to announce the release of Codeup’s first podcast, Hire Tech! Hire...Apr 1, 2021 | Codeup News, EmployersWe’re preaching to the choir to say that recruiting, hiring, and training employees costs companies a lot of time,...Mar 23, 2021 | Codeup News, EmployersHiring developers is always a lottery - it’s just a question of what kind of odds you play with. Until we perfect...Mar 16, 2021 | Tips for Prospective StudentsWondering how or if coding bootcamps help you get a job? We can’t speak for the other guys, but at Codeup, our job...Mar 11, 2021 | Data ScienceWhat do you look for in a career? Chances are, you’re looking for a way to make use of your particular talents, a...Mar 9, 2021 | Codeup News, EmployersHiring qualified software developers is hard. Hiring a team of qualified developers that don’t all have the same...Feb 22, 2021 | Codeup News, EmployersIn the magical time of ""before COVID,"" Codeup hosted Developer Days to introduce hiring managers to new talent through...Feb 10, 2021 | Codeup News, EmployersAfter graduating from Codeup in 2016, Stan H. was hired on by a digital media company called Lifeblue in Plano, TX. He...Jan 29, 2021 | Codeup NewsQuestioning college? You and apparently millions of others! The COVID-19 pandemic has seen college in decline and...Jan 25, 2021 | Full Stack Web DevelopmentThere are some things we all look for in a career. Job security, good compensation, work/life balance, personal...Jan 5, 2021 | Codeup NewsFinally, 2021 is here! While of course 2020 had its downs, we’d like to reflect on the silver linings and victories we...Dec 14, 2020 | Tips for Prospective StudentsIs your degree not getting you the job prospects you hoped for? Having doubts about college? Accidentally study...Nov 18, 2020 | Codeup News, EmployersAt Codeup, students get a curriculum that sets them up for success after graduation. Likewise, employers get...Nov 10, 2020 | Codeup News, EmployersHere at Codeup, we believe it's time to revolutionize hiring. We're launching a first of its kind Salary Refund...Nov 9, 2020 | Codeup NewsWe have an exciting announcement! We’re launching a new scholarship to build and support the Black community in tech....Oct 26, 2020 | Codeup NewsHouston, we have a problem: there aren’t enough software developers! After 6 years of helping adults transition into...(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Blog - Codeup
https://codeup.com/,True,"Go from no experience to employed tech professional in less than 6 months. Apply today or attend a free workshop.Start a tech career where room for growth is limitless and your skillset is always needed. Imagine working for one of our many employer partners, including…Always dreamed of coding games, apps, or websites? Develop the applications every company needs.Wish you could stand up against hackers and other cyber threats? Learn how in 13 weeks.Do you love data and details? Become the business analyst that identifies actionable insights.Learn the building blocks of technology to become the go-to troubleshooter for any company.Access our library of podcast interviews featuring alumni stories &amp; hiring partners.Graduate (and start earning a salary) 10X faster than college and 5X faster than a Master’s Degree. Learn all the skills you need and nothing you don’t.Not all curricula are created equal. Ours is crafted by employers, taught by industry professionals, and includes hands-on project experience.Other routes leave you to learn alone, network alone, and job-search alone. Not us. We’ll help you land a new job with career coaching, mock interviews, job placement, and more.You may be eligible for thousands of dollars in tuition assistance. You’ll work one-on-one with our Financial Aid Managers to discuss how to make Codeup possible for you.– Marco Lopez (Air Force Veteran)After our bootcampOver 7 years, nearly 2,000 people have launched their dream career with Codeup. Check out our blog to read the first-hand success stories of grads that now have jobs they love.Are you a hiring manager looking to hire tech talent? Get connected with pre-vetted and diverse candidates with zero placement fees and a salary refund guarantee. Just tell us about the tech talent you need and we’ll handpick candidates just for you.Codeup is a critical component of making sure we have a ready-stream of people.– Chris Lowe, Engineering Manager, USAASubmit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Best Tech Career Accelerator in Texas - Codeup
https://codeup.com/my-story/,True,"Our alumni share their unique Codeup experiences and their life transformation after graduating from our programs.Abby spent her years in the education industry before her career transitioned into the tech industry. After graduating from Codeup, she is now working in, what she calls, her “dream job of combining the best of both worlds (computer science and education) at Microsoft TEALS. Check out her story!After serving in the Marine Corps, Lance worked in the service industry for over 15 years. Feeling empowered to make a change in his career, he sought out education options and came across Codeup. Check out his amazing story of transitioning into software development, a career he loves.As a hairstylist, Sukari expressed her discomfort of having to work weekends and long hours. Her number one goal of transitioning careers was to find a career she loves and has a flexible work schedule so that she can spend more time with her son. Check out her transition story and how much she is loving her new career in software development!Transitioning from the service industry and facing potential financial obstacles with his DREAMer status, Nestor is excited to share his life-changing experience at Codeup.After serving 25 years in the military and law enforcement, Boris knew it was time to launch a second career in web development. Codeup challenged and encouraged him to use the skills he had learned from serving in the United States Army and bring them into the classroom!Po shares his story of the difficulties he faced trying to find a job upon graduating from a 4-year university with a computer science degree. Quickly learning the requirements to start his career in software development, he sought out Codeup to help him build his resume through our project-based curriculum.Submit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",My Story - Codeup
https://codeup.com/index.php/,True,"Go from no experience to employed tech professional in less than 6 months. Apply today or attend a free workshop.Start a tech career where room for growth is limitless and your skillset is always needed. Imagine working for one of our many employer partners, including…Always dreamed of coding games, apps, or websites? Develop the applications every company needs.Wish you could stand up against hackers and other cyber threats? Learn how in 13 weeks.Do you love data and details? Become the business analyst that identifies actionable insights.Learn the building blocks of technology to become the go-to troubleshooter for any company.Access our library of podcast interviews featuring alumni stories &amp; hiring partners.Graduate (and start earning a salary) 10X faster than college and 5X faster than a Master’s Degree. Learn all the skills you need and nothing you don’t.Not all curricula are created equal. Ours is crafted by employers, taught by industry professionals, and includes hands-on project experience.Other routes leave you to learn alone, network alone, and job-search alone. Not us. We’ll help you land a new job with career coaching, mock interviews, job placement, and more.You may be eligible for thousands of dollars in tuition assistance. You’ll work one-on-one with our Financial Aid Managers to discuss how to make Codeup possible for you.– Marco Lopez (Air Force Veteran)After our bootcampOver 7 years, nearly 2,000 people have launched their dream career with Codeup. Check out our blog to read the first-hand success stories of grads that now have jobs they love.Are you a hiring manager looking to hire tech talent? Get connected with pre-vetted and diverse candidates with zero placement fees and a salary refund guarantee. Just tell us about the tech talent you need and we’ll handpick candidates just for you.Codeup is a critical component of making sure we have a ready-stream of people.– Chris Lowe, Engineering Manager, USAASubmit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Best Tech Career Accelerator in Texas - Codeup
https://codeup.com/behind-the-billboards/boris-behind-the-billboards/,True,"Oct 3, 2021 | Behind the BillboardsSubmit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Boris - Behind the Billboards - Codeup
https://codeup.com/tips-for-prospective-students/why-should-i-become-a-system-administrator/,True,"Aug 23, 2021 | IT Training, Tips for Prospective StudentsSubmit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Why Should I Become a System Administrator? - Codeup
https://codeup.com/podcast/,True,"In a world where “entry-level” positions often require 3 years of experience, Jason sets out to discover what it’s like to break into and work in the modern tech industry. To hear various perspectives, he interviews both Codeup alumni and tech leaders who have hired from Codeup. These stories show you the impact Codeup has on the tech world by empowering our community with real life change.You can listen to our latest episode automatically below! If you want to listen on other platforms you can find those links below the media player. Happy Listening!Stay CodeupdatedSubmit your email address to gain access to more information about our programs, financial aid, and benefits. We may even send you some free swag!(210) 802–7289Why Codeup? Financial Aid Options Student Stories Employers Refund PolicyFAQsCareersMedia KitFull Stack Web Development Data Science Cyber Cloud Systems Engineering Free Networking Course© 2013-2021 Copyright. Privacy Policy  |  Complaint Policy  |  Inclusion | Accessibility | Sitemap",Hire Tech Podcast - Codeup
